subject,grade_level,cycle,strand_num,ilo_code,description
Physical Education,Standard 1,4,2,PE 2.12,"Reduce open space by using locomotor movements, walking, running, changing size and shape in body in combination with movement concepts, reducing the angle in the space, reducing distance between player and goal."
Physical Education,Standard 1,4,2,PE 2.13,Participate in small group games by passing a ball to a partner or shooting a stationary ball at a goal or other target with a short run up.
Physical Education,Standard 2,1,1,PE 1.14,"Maintain balance while stretching, curling, twisting, and transferring weight from one part of the body to another."
Physical Education,Standard 2,1,1,PE 1.15,"Maintain balance while moving, changing direction, and coming to an abrupt stop."
Physical Education,Standard 2,1,1,PE 1.16,Skip a short or long rope continuously that is turned by self or others.
Physical Education,Standard 2,1,1,PE 1.17,"Execute flexibility exercises such as reaching as far as possible in different directions with the arms, lifting the knee to the chest and rotating outstretched arms in a circle, while sitting or standing."
Physical Education,Standard 2,1,1,PE 1.18,Perform various stretches using static and dynamic activities.
Physical Education,Standard 2,4,2,PE 2.14,"Dribble, pass and control a football in general space and through obstacles."
Physical Education,Standard 2,4,2,PE 2.15,"Kick a moving ball, using different techniques to hit a target or goal."
Physical Education,Standard 2,4,2,PE 2.16,Apply combined skills in a simplified football game.
Physical Education,Standard 3,1,1,PE 1.19,"Transfer weight from one foot to another to maintain balance, while stationary or traveling, while moving different body parts in a variety of ways."
Physical Education,Standard 3,4,2,PE 2.17,"Pass, dribble and control a football while changing pace and direction, using different techniques."
Physical Education,Standard 4,1,1,PE 1.23,"Balance, symmetrically and non-symmetrically, on different bases of support, combining levels with shapes."
Physical Education,Standard 4,1,1,PE 1.24,Create an original individual jump-rope routine that includes basic jumps with a short rope or long rope.
Physical Education,Standard 4,1,1,PE 1.25,"Create a jump-rope routine with a partner, using either a short or long rope that includes basic jumps and tricks such as star jumps, side straddles and jumping in and out of the rope."
Physical Education,Standard 4,1,1,PE 1.26,Explain the importance of and perform basic stretching exercises and aerobic activities to warm-up the body.
Physical Education,Standard 4,4,2,PE 2.20,"Control a passed football with the chest, legs or side of the foot and pass the football to a stationary and moving partner in a variety of ways."
Physical Education,Standard 4,4,2,PE 2.21,Explain and apply football rules and tactics including commonly used team formations.
Physical Education,Standard 4,4,2,PE 2.22,Shoot a stationary or moving football at a goal or other target from a variety of distances and angles.
Physical Education,Standard 4,4,2,PE 2.23,"Regain control of a football from another player with a safe, clean tackle."
Physical Education,Standard 5,1,1,PE 1.28,"Balance on either leg, demonstrating muscular tension and extensions of free body parts."
Physical Education,Standard 5,1,1,PE 1.29,Perform a routine that includes a variety of postures and body movements while balancing on a painted line.
Physical Education,Standard 5,1,1,PE 1.30,Discuss the importance and benefits of stretching and safely perform a variety of stretching exercises.
Physical Education,Standard 5,1,1,PE 1.31,"Participate in fitness exercises that increase flexibility, muscular strength, and muscular endurance."
Physical Education,Standard 5,1,1,PE 1.32,"Create an original routine that combines a variety of twisting, curling, bending, and stretching actions."
Physical Education,Standard 5,4,2,PE 2.25,Identify the roles of the eleven positions on a football team and present on one of the roles.
Physical Education,Standard 5,4,2,PE 2.26,Shoot a ball to an identified target or goal with the four-step technique.
Physical Education,Standard 5,4,2,PE 2.27,Explain and demonstrate the standing position technique to hold a ball from a shot.
Physical Education,Standard 5,4,2,PE 2.28,Demonstrate how to control a passed football with the legs or side of the foot and how to pass it to a stationary or moving partner in a variety of ways.
Physical Education,Standard 6,1,1,PE 1.33,"Perform, individually or with a partner, original jump rope routines that include basic jumps and tricks."
Physical Education,Standard 6,1,1,PE 1.34,Perform a variety of high and low kicks and turns while maintaining balance.
Physical Education,Standard 6,1,1,PE 1.35,Perform balancing on stilts for several minutes.
Physical Education,Standard 6,1,1,PE 1.36,Explain the importance of and perform simple warm up or cool down routines that includes a variety of light aerobic exercises and stretches.
Physical Education,Standard 6,1,1,PE 1.37,Demonstrate appropriate posture while performing different exercises with different variations.
Physical Education,Standard 6,4,2,PE 2.29,"Control a passed football with the chest, legs or side of the foot and immediately pass it to a partner."
Physical Education,Standard 6,4,2,PE 2.30,Identify and demonstrate a range of goalkeeping techniques.
Physical Education,Standard 6,4,2,PE 2.31,"Dribble a football showing control of pace and direction and demonstrate how to regain possession of a ball from another player with a safe, clean tackle."
Physical Education,Standard 6,4,2,PE 2.32,Participate in and demonstrate an understanding of tactics in a modified football game.
